Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01001,1001,"Autauga County, Alabama",55136,*****
0500000US01003,1003,"Baldwin County, Alabama",191205,*****
0500000US01005,1005,"Barbour County, Alabama",27119,*****
0500000US01007,1007,"Bibb County, Alabama",22653,*****
0500000US01009,1009,"Blount County, Alabama",57645,*****
0500000US01011,1011,"Bullock County, Alabama",10693,*****
0500000US01013,1013,"Butler County, Alabama",20523,*****
0500000US01015,1015,"Calhoun County, Alabama",117186,*****
0500000US01017,1017,"Chambers County, Alabama",34091,*****
0500000US01019,1019,"Cherokee County, Alabama",26042,*****
0500000US01021,1021,"Chilton County, Alabama",43781,*****
0500000US01023,1023,"Choctaw County, Alabama",13546,*****
0500000US01025,1025,"Clarke County, Alabama",25331,*****
0500000US01027,1027,"Clay County, Alabama",13617,*****
0500000US01029,1029,"Cleburne County, Alabama",14990,*****
0500000US01031,1031,"Coffee County, Alabama",50726,*****
0500000US01033,1033,"Colbert County, Alabama",54491,*****
0500000US01035,1035,"Conecuh County, Alabama",12985,*****
0500000US01037,1037,"Coosa County, Alabama",11247,*****
0500000US01039,1039,"Covington County, Alabama",37881,*****
0500000US01041,1041,"Crenshaw County, Alabama",13938,*****
0500000US01043,1043,"Cullman County, Alabama",80668,*****
0500000US01045,1045,"Dale County, Alabama",50013,*****
0500000US01047,1047,"Dallas County, Alabama",42743,*****
0500000US01049,1049,"DeKalb County, Alabama",71074,*****
0500000US01051,1051,"Elmore County, Alabama",80321,*****
0500000US01053,1053,"Escambia County, Alabama",38042,*****
0500000US01055,1055,"Etowah County, Alabama",104126,*****
0500000US01057,1057,"Fayette County, Alabama",17019,*****
0500000US01059,1059,"Franklin County, Alabama",31663,*****
0500000US01061,1061,"Geneva County, Alabama",26816,*****
0500000US01063,1063,"Greene County, Alabama",8798,*****
0500000US01065,1065,"Hale County, Alabama",15393,*****
0500000US01067,1067,"Henry County, Alabama",17270,*****
0500000US01069,1069,"Houston County, Alabama",103079,*****
0500000US01071,1071,"Jackson County, Alabama",53012,*****
0500000US01073,1073,"Jefferson County, Alabama",658834,*****
0500000US01075,1075,"Lamar County, Alabama",14268,*****
0500000US01077,1077,"Lauderdale County, Alabama",92780,*****
0500000US01079,1079,"Lawrence County, Alabama",33835,*****
0500000US01081,1081,"Lee County, Alabama",147790,*****
0500000US01083,1083,"Limestone County, Alabama",87167,*****
0500000US01085,1085,"Lowndes County, Alabama",10918,*****
0500000US01087,1087,"Macon County, Alabama",20505,*****
0500000US01089,1089,"Madison County, Alabama",343229,*****
0500000US01091,1091,"Marengo County, Alabama",20489,*****
0500000US01093,1093,"Marion County, Alabama",30527,*****
0500000US01095,1095,"Marshall County, Alabama",94121,*****
0500000US01097,1097,"Mobile County, Alabama",414045,*****
0500000US01099,1099,"Monroe County, Alabama",22509,*****
0500000US01101,1101,"Montgomery County, Alabama",228850,*****
0500000US01103,1103,"Morgan County, Alabama",119744,*****
0500000US01105,1105,"Perry County, Alabama",10203,*****
0500000US01107,1107,"Pickens County, Alabama",19629,*****
0500000US01109,1109,"Pike County, Alabama",33216,*****
0500000US01111,1111,"Randolph County, Alabama",22724,*****
0500000US01113,1113,"Russell County, Alabama",56980,*****
0500000US01115,1115,"St. Clair County, Alabama",85242,*****
0500000US01117,1117,"Shelby County, Alabama",201168,*****
0500000US01119,1119,"Sumter County, Alabama",13433,*****
0500000US01121,1121,"Talladega County, Alabama",81673,*****
0500000US01123,1123,"Tallapoosa County, Alabama",41295,*****
0500000US01125,1125,"Tuscaloosa County, Alabama",198670,*****
0500000US01127,1127,"Walker County, Alabama",66211,*****
0500000US01129,1129,"Washington County, Alabama",17137,*****
0500000US01131,1131,"Wilcox County, Alabama",11367,*****
0500000US01133,1133,"Winston County, Alabama",24256,*****
0500000US02013,2013,"Aleutians East Borough, Alaska",3296,*****
0500000US02016,2016,"Aleutians West Census Area, Alaska",5650,*****
0500000US02020,2020,"Anchorage Municipality, Alaska",298178,*****
0500000US02050,2050,"Bethel Census Area, Alaska",17576,*****
0500000US02060,2060,"Bristol Bay Borough, Alaska",995,94
0500000US02068,2068,"Denali Borough, Alaska",2048,126
0500000US02070,2070,"Dillingham Census Area, Alaska",4956,*****
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",99319,*****
0500000US02100,2100,"Haines Borough, Alaska",2557,*****
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",2126,*****
0500000US02110,2110,"Juneau City and Borough, Alaska",32200,*****
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",56687,*****
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",13676,*****
0500000US02150,2150,"Kodiak Island Borough, Alaska",13924,*****
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",1490,126
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",93843,*****
0500000US02180,2180,"Nome Census Area, Alaska",9792,*****
0500000US02185,2185,"North Slope Borough, Alaska",9618,*****
0500000US02188,2188,"Northwest Arctic Borough, Alaska",7672,*****
0500000US02195,2195,"Petersburg Borough, Alaska",3212,*****
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",6356,*****
0500000US02220,2220,"Sitka City and Borough, Alaska",8957,*****
0500000US02230,2230,"Skagway Municipality, Alaska",996,140
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",7044,*****
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",9685,*****
0500000US02270,2270,"Wade Hampton Census Area, Alaska",7778,*****
0500000US02275,2275,"Wrangell City and Borough, Alaska",2383,*****
0500000US02282,2282,"Yakutat City and Borough, Alaska",635,83
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",5651,*****
0500000US04001,4001,"Apache County, Arizona",72142,*****
0500000US04003,4003,"Cochise County, Arizona",130807,*****
0500000US04005,4005,"Coconino County, Arizona",135817,*****
0500000US04007,4007,"Gila County, Arizona",53242,*****
0500000US04009,4009,"Graham County, Arizona",37311,*****
