POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION
346789,90704,33.3992475,-118.4356008,ZIP,,,,302
346790,90704,33.331963,-118.343706,TESTCENTER,2272303,HIGH SCHOOL,AVALON HIGH SCHOOL,
346791,92629,33.4751201,-117.7056751,ZIP,,,,1432
346792,92624,33.4514689,-117.6590564,ZIP,,,,470
346793,92677,33.5288675,-117.7011753,ZIP,,,,4266
346794,92675,33.511714,-117.657409,TESTCENTER,2273269,HIGH SCHOOL,SAN JUAN HILL HIGH SCHOOL,
346795,92672,33.42411,-117.6067751,ZIP,,,,2155
346796,92673,33.46,-117.63,TESTCENTER,2271206,HIGH SCHOOL,SAN CLEMENTE HIGH SCHOOL,
346797,92673,33.4673712,-117.6135092,ZIP,,,,2014
346798,92675,33.5018599,-117.6086463,ZIP,,,,2713
346799,92694,33.547238,-117.6237612,ZIP,,,,1080
346800,92055,33.3877228,-117.4447579,ZIP,,,,2921
346801,92107,32.7390553,-117.2454042,ZIP,,,,1441
346802,92118,32.6992345,-117.2096422,ZIP,,,,1387
346803,92135,32.697543,-117.192775,ZIP,,,,99
346804,92106,32.7108183,-117.2376128,ZIP,,,,991
346805,92147,32.7248803,-117.2199618,ZIP,,,,124
346806,92140,32.7394961,-117.1974012,ZIP,,,,1754
346807,92110,32.7652442,-117.2003912,ZIP,,,,2073
346808,92037,32.845488,-117.25208,TESTCENTER,2268331,HIGH SCHOOL,LA JOLLA COUNTRY DAY SCHOOL,
346809,92037,32.8563468,-117.2500579,ZIP,,,,6884
346810,92109,32.7867719,-117.2342066,ZIP,,,,1050
346811,92117,32.8245716,-117.1995183,ZIP,,,,2663
346812,92093,32.85,-117.24,TESTCENTER,2274183,4 YR COLLEGE/UNIVERSITY,UNIV OF CALIFORNIA-SAN DIEGO,
346813,92014,32.9631995,-117.2503091,ZIP,,,,649
346814,92075,32.9972485,-117.2605796,ZIP,,,,614
346815,92007,33.0232495,-117.2749228,ZIP,,,,475
346816,92130,32.9457908,-117.2143658,ZIP,,,,3450
346817,92130,32.955533,-117.225201,TESTCENTER,2270201,HIGH SCHOOL,TORREY PINES HIGH SCHOOL,
346818,92121,32.8995918,-117.2012028,ZIP,,,,126
346819,92091,33.0159273,-117.243517,ZIP,,,,29
346820,92067,33.0209084,-117.1903457,ZIP,,,,753
346821,91932,32.5737546,-117.1208718,ZIP,,,,1926
346822,92154,32.575276,-117.070725,TESTCENTER,2269903,HIGH SCHOOL,SAN YSIDRO HIGH SCHOOL,
346823,92154,32.575276,-117.070725,TESTCENTER,2271149,HIGH SCHOOL,SOUTHWEST HIGH SCHOOL,
346824,91911,32.6081848,-117.054512,ZIP,,,,7326
346825,92155,32.6749839,-117.1617258,ZIP,,,,68
346826,92113,32.6967163,-117.1178807,ZIP,,,,5621
346827,92101,32.7241028,-117.1709121,ZIP,,,,732
346828,92101,32.72,-117.16,TESTCENTER,2273591,HIGH SCHOOL,SAN DIEGO HIGH SCHOOL,
346829,92134,32.724223,-117.146587,ZIP,,,,23
346830,92103,32.7474154,-117.1668826,ZIP,,,,597
346831,92102,32.7162204,-117.1170571,ZIP,,,,3413
346832,92104,32.741501,-117.1279482,ZIP,,,,1956
346833,92104,32.745425,-117.127189,TESTCENTER,2271306,HIGH SCHOOL,ST AUGUSTINE HIGH SCHOOL,
346834,92116,32.7649708,-117.1231448,ZIP,,,,1093
346835,91950,32.6706465,-117.0946684,ZIP,,,,5226
