COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION,ID2
Abbeville,34.2097696,-82.64698829999999,1576,South Carolina,SC,45001
Acadia,30.1956779,-92.5571291,4491,Louisiana,LA,22001
Accomack,37.5610703,-75.87202590000001,1952,Virginia,VA,51001
Ada,43.5680061,-116.40441059999999,23460,Idaho,ID,16001
Adair,41.2198232,-94.69143890000001,386,Iowa,IA,19001
Adair,36.9547789,-85.38984350000001,1531,Kentucky,KY,21001
Adair,40.2198229,-92.7516868,2984,Missouri,MO,29001
Adair,35.6996662,-94.7410137,1782,Oklahoma,OK,40001
Adams,39.830821500000006,-105.03746979999998,31609,Colorado,CO,08001
Adams,44.540009999999995,-116.4128907,225,Idaho,ID,16003
Adams,39.8162626,-91.26343229999999,4606,Illinois,IL,17001
Adams,40.604279999999996,-84.9647618,2604,Indiana,IN,18001
Adams,40.9425917,-94.88096540000001,237,Iowa,IA,19003
Adams,31.508631599999998,-91.35853840000001,2088,Mississippi,MS,28001
Adams,40.4617835,-98.6694388,2546,Nebraska,NE,31001
Adams,46.1262739,-102.9228715,121,North Dakota,ND,38001
Adams,38.705934,-83.6103089,2167,Ohio,OH,39001
Adams,39.77071779999999,-77.38875809999999,7150,Pennsylvania,PA,42001
Adams,46.8200686,-119.1780544,1766,Washington,WA,53001
Adams,43.88672329999999,-89.80775899999999,658,Wisconsin,WI,55001
Addison,43.800615,-73.28970100000001,3237,Vermont,VT,50001
Aiken,33.5264071,-81.93933670000001,11036,South Carolina,SC,45003
Aitkin,46.4972788,-93.63791379999999,851,Minnesota,MN,27001
Alachua,29.6321561,-82.5899194,24314,Florida,FL,12001
Alamance,36.0270987,-79.4917994,11471,North Carolina,NC,37001
Alameda,37.7375722,-122.2455071,100603,California,CA,06001
Alamosa,37.481245200000004,-105.8332128,1362,Colorado,CO,08003
Albany,42.4485946,-74.24609709999999,22358,New York,NY,36001
Albany,40.8822891,-105.99739609999999,3654,Wyoming,WY,08069
Albemarle,37.6954255,-78.6377769,4700,Virginia,VA,51029
Alcona,44.5456875,-83.6852056,557,Michigan,MI,26001
Alcorn,34.7880315,-88.5954055,2335,Mississippi,MS,28003
Alexander,37.154393299999995,-89.3422994,540,Illinois,IL,17003
Alexander,35.821718700000005,-81.0608438,2342,North Carolina,NC,37097
