COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION
Abbeville,34.2097696,-82.6469883,1576,South Carolina,SC
Acadia,30.1956779,-92.5571291,4491,Louisiana,LA
Accomack,37.5610703,-75.8720259,1952,Virginia,VA
Ada,43.5680061,-116.4044106,23460,Idaho,ID
Adair,41.2198232,-94.6914389,386,Iowa,IA
Adair,36.9547789,-85.3898435,1531,Kentucky,KY
Adair,40.2198229,-92.7516868,2984,Missouri,MO
Adair,35.6996662,-94.7410137,1782,Oklahoma,OK
Adams,39.8308215,-105.0374698,31609,Colorado,CO
Adams,44.54001,-116.4128907,225,Idaho,ID
Adams,39.8162626,-91.2634323,4606,Illinois,IL
Adams,40.60428,-84.9647618,2604,Indiana,IN
Adams,40.9425917,-94.8809654,237,Iowa,IA
Adams,31.5086316,-91.3585384,2088,Mississippi,MS
Adams,40.4617835,-98.6694388,2546,Nebraska,NE
Adams,46.1262739,-102.9228715,121,North Dakota,ND
Adams,38.705934,-83.6103089,2167,Ohio,OH
Adams,39.7707178,-77.3887581,7150,Pennsylvania,PA
Adams,46.8200686,-119.1780544,1766,Washington,WA
Adams,43.8867233,-89.807759,658,Wisconsin,WI
Addison,43.800615,-73.289701,3237,Vermont,VT
Aiken,33.5264071,-81.9393367,11036,South Carolina,SC
Aitkin,46.4972788,-93.6379138,851,Minnesota,MN
Alachua,29.6321561,-82.5899194,24314,Florida,FL
Alamance,36.0270987,-79.4917994,11471,North Carolina,NC
Alameda,37.7375722,-122.2455071,100603,California,CA
Alamosa,37.4812452,-105.8332128,1362,Colorado,CO
Albany,42.4485946,-74.2460971,22358,New York,NY
Albany,40.8822891,-105.9973961,3654,Wyoming,WY
Albemarle,37.6954255,-78.6377769,4700,Virginia,VA
Alcona,44.5456875,-83.6852056,557,Michigan,MI
Alcorn,34.7880315,-88.5954055,2335,Mississippi,MS
Alexander,37.1543933,-89.3422994,540,Illinois,IL
Alexander,35.8217187,-81.0608438,2342,North Carolina,NC
Alexandria city,38.8131691,-77.1121386,4762,Virginia,VA
