YEAR,STATE_CODE,EXPENSE
2014,1,1116591.746
2014,4,422673.834
2014,5,772620.255
2014,6,2722115.99
2014,8,439097.9395
2014,9,320480.9575
2014,10,37414.96
2014,11,69826.2675
2014,12,3966889.724
2014,13,1232460.675
2014,16,140760.0975
2014,17,1637332.23
2014,18,331195.095
2014,19,434386.645
2014,20,562658.822
2014,21,761706.7205
2014,22,1173365.518
2014,23,38206.08
2014,24,466331.7395
2014,25,389013.262
2014,26,1187177.371
2014,27,1030084.149
2014,28,923127.81
2014,29,1349720.812
2014,30,59743.31
2014,31,389551.085
2014,32,177011.7525
2014,33,70792.59
2014,34,493725.6665
2014,35,290691.665
2014,36,1118185.349
2014,37,503072.5755
2014,38,53607.95
2014,39,1747178.455
2014,40,827000.229
2014,41,152943.505
2014,42,516919.568
2014,44,30976.55
2014,45,465175.5625
2014,46,130353.19
2014,47,1208294.61
2014,48,2333166.897
2014,49,442173.8805
2014,50,41209.96
2014,51,554188.7835
2014,53,402522.626
2014,54,282603.255
2014,55,1056144.595
2014,56,50581.3
