POINT_ID,ZIP_CODE,LAT,LONG,POPULATION,CITY,COUNTY,STATE,STATE_ABBREVIATION
346789,90704,33.3992475,-118.4356008,302,Avalon,Los Angeles,California,CA
346791,92629,33.4751201,-117.7056751,1432,Dana Point,Orange,California,CA
346792,92624,33.4514689,-117.6590564,470,Capistrano Beach,Orange,California,CA
346793,92677,33.5288675,-117.7011753,4266,Laguna Niguel,Orange,California,CA
346795,92672,33.42411,-117.6067751,2155,San Clemente,Orange,California,CA
346797,92673,33.4673712,-117.6135092,2014,San Clemente,Orange,California,CA
346798,92675,33.5018599,-117.6086463,2713,San Juan Capistrano,Orange,California,CA
346799,92694,33.547238,-117.6237612,1080,Ladera Ranch,Orange,California,CA
346800,92055,33.3877228,-117.4447579,2921,Camp Pendleton,San Diego,California,CA
346801,92107,32.7390553,-117.2454042,1441,San Diego,San Diego,California,CA
346802,92118,32.6992345,-117.2096422,1387,Coronado,San Diego,California,CA
346803,92135,32.697543,-117.192775,99,San Diego,San Diego,California,CA
346804,92106,32.7108183,-117.2376128,991,San Diego,San Diego,California,CA
346805,92147,32.7248803,-117.2199618,124,San Diego,San Diego,California,CA
346806,92140,32.7394961,-117.1974012,1754,San Diego,San Diego,California,CA
346807,92110,32.7652442,-117.2003912,2073,San Diego,San Diego,California,CA
346809,92037,32.8563468,-117.2500579,6884,La Jolla,San Diego,California,CA
346810,92109,32.7867719,-117.2342066,1050,San Diego,San Diego,California,CA
346811,92117,32.8245716,-117.1995183,2663,San Diego,San Diego,California,CA
346813,92014,32.9631995,-117.2503091,649,Del Mar,San Diego,California,CA
346814,92075,32.9972485,-117.2605796,614,Solana Beach,San Diego,California,CA
346815,92007,33.0232495,-117.2749228,475,Cardiff By The Sea,San Diego,California,CA
346816,92130,32.9457908,-117.2143658,3450,San Diego,San Diego,California,CA
346818,92121,32.8995918,-117.2012028,126,San Diego,San Diego,California,CA
346819,92091,33.0159273,-117.243517,29,Rancho Santa Fe,San Diego,California,CA
