id2,name,state,males,females,lat,long,id
8059,"Jefferson County, Colorado",CO,2,0,39.8936685,-105.0721118,08059
9001,"Fairfield County, Connecticut",CT,7,0,41.4123225,-73.31142358,09001
5045,"Faulkner County, Arkansas",AR,0,0,35.0886963,-92.4421011,05045
39105,"Meigs County, Ohio",OH,0,0,39.0875777,-81.9226372,39105
12033,"Escambia County, Florida",FL,0,0,30.421309,-87.2169149,12033
26017,"Bay County, Michigan",MI,0,1,43.5944677,-83.8888648,26017
26081,"Kent County, Michigan",MI,0,1,42.9633599,-85.6680863,26081
32003,"Clark County, Nevada",NV,6,1,36.145204,-115.1611806,32003
37133,"Onslow County, North Carolina",NC,0,0,34.7540524,-77.4302415,37133
37115,"Madison County, North Carolina",NC,0,0,35.7973284,-82.6840252,37115
39095,"Lucas County, Ohio",OH,0,0,41.6786754,-83.5127283,39095
47059,"Greene County, Tennessee",TN,0,0,36.1631575,-82.8309861,47059
47157,"Shelby County, Tennessee",TN,0,1,35.1490215,-90.0516285,47157
48027,"Bell County, Texas",TX,10,3,31.13,-97.78,48027
49035,"Salt Lake County, Utah",UT,12,5,40.644188,-111.9522491,49035
6107,"Tulare County, California",CA,18,1,36.2960613,-119.1420517,06107
26163,"Wayne County, Michigan",MI,10,2,42.3486635,-83.0567375,26163
48091,"Comal County, Texas",TX,1,0,29.7104586,-98.1460417,48091
36061,"New York County, New York",NY,7,1,40.7911785,-73.97481894,36061
36113,"Warren County, New York",NY,0,0,43.3099598,-73.6442514,36113
51760,"Richmond city, Virginia",VA,3,1,37.541239,-77.4420183,51760
47147,"Robertson County, Tennessee",TN,0,0,36.5092119,-86.8849984,47147
18089,"Lake County, Indiana",IN,13,0,41.5927467,-87.3467803,18089
1073,"Jefferson County, Alabama",AL,17,5,33.3881705,-86.89975258,01073
1029,"Cleburne County, Alabama",AL,0,1,33.5228885,-85.3445728,01029
1015,"Calhoun County, Alabama",AL,0,0,33.589896,-85.83689316,01015
4013,"Maricopa County, Arizona",AZ,34,10,33.361168,-112.1213022,04013
6029,"Kern County, California",CA,26,3,35.1457415,-117.9579013,06029
6019,"Fresno County, California",CA,0,0,36.7322115,-119.6997096,06019
6075,"San Francisco County, California",CA,0,0,37.7789601,-122.419199,06075
6037,"Los Angeles County, California",CA,413,35,34.1494848,-118.5506158,06037
12035,"Flagler County, Florida",FL,0,0,29.5541432,-81.2207673,12035
12099,"Palm Beach County, Florida",FL,44,7,26.78912185,-80.06076403,12099
17031,"Cook County, Illinois",IL,26,3,41.8756208,-87.6243706,17031
17197,"Will County, Illinois",IL,0,1,41.525031,-88.0817252,17197
24510,"Baltimore city, Maryland",MD,0,0,39.2909295,-76.6097684,24510
25025,"Suffolk County, Massachusetts",MA,11,2,42.3604823,-71.0595678,25025
29221,"Washington County, Missouri",MO,0,0,37.9447722,-90.7242964,29221
8031,"Denver County, Colorado",CO,0,0,39.7391536,-104.9847034,08031
34007,"Camden County, New Jersey",NJ,1,2,39.9448436,-75.1198694,34007
37119,"Mecklenburg County, North Carolina",NC,2,0,35.3314525,-80.93985542,37119
